"","city","result","reason","法條數","法源數","縣市","戶籍登記人口數","男性人口","女性人口","勞動力參與率","失業率","刑案發生數","竊盜案發生數","暴力犯罪發生數","查獲經濟案件件數","家庭收支.平均戶內人口數","家庭收支.平均每戶就業人數","家庭收支.平均每戶全年經常性收入","家庭收支.平均每戶可支配所得","死亡","受傷","案件數","是否為六都","區域"
"520","臺北","不受理","公共危險",4,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"521","臺北","不受理","過失傷害",6,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"522","臺北","有罪","公共危險等",11,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"523","臺北","無罪","過失致死",3,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"524","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"525","臺北","無罪","過失傷害",5,4," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"526","臺北","不受理","過失傷害",6,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"527","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"528","臺北","有罪","過失傷害",14,5," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"529","臺北","不受理","過失傷害",6,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"530","臺北","不受理","業務過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"531","臺北","不受理","過失傷害",4,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"532","臺北","有罪","公共危險",8,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"533","臺北","有罪","公共危險",10,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"534","臺北","無罪","過失傷害",5,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"535","臺北","不受理","其他",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"536","臺北","有罪","業務過失傷害",7,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"537","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"538","臺北","不受理","業務過失傷害",6,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"539","臺北","不受理","業務過失傷害",6,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"540","臺北","不受理","業務過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"541","臺北","有罪","過失傷害",6,3," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"542","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"543","臺北","不受理","業務過失傷害",6,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"544","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"545","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"546","臺北","有罪","其他",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"547","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"548","臺北","不受理","業務過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"549","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"550","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"551","臺北","不受理","過失傷害",5,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
"552","臺北","不受理","其他",4,2," 臺北市",2686516,1289945,1396571,56.8,4.2,41255,8052,346,1035,3.13,1.33,1659231,1279195,84,27490,20631,"是","北部"
